Age,Gender,Department,JobRole,Education,MonthlyIncome,YearsAtCompany,JobSatisfaction,OverTime,DistanceFromHome,Attrition,Probability,Timestamp
50,Male,HR,Manager,3,96820,6,2,No,19,1,0.880797078,03-08-25
32,Female,HR,Engineer,3,64131,7,4,No,3,1,0.622459331,30-05-25
23,Male,HR,Manager,4,82955,5,2,No,28,1,0.880797078,04-10-25
54,Male,HR,Engineer,4,105305,11,1,No,17,1,0.880797078,28-02-25
49,Female,R&D,Analyst,4,79150,14,2,No,19,1,0.92414182,30-12-25
24,Female,Finance,Engineer,1,23890,6,1,Yes,9,1,0.998498818,16-06-25
39,Female,IT,Engineer,4,28792,13,2,Yes,26,1,0.998498818,22-09-25
47,Male,Finance,Manager,1,43483,6,4,No,29,1,0.880797078,21-09-25
56,Male,HR,Engineer,2,55920,3,2,No,8,1,0.880797078,02-01-25
27,Male,R&D,Executive,2,98953,3,2,Yes,29,1,0.98201379,10-07-25
39,Male,R&D,Manager,2,91211,1,2,No,4,1,0.952574127,27-09-25
52,Female,Sales,Engineer,4,31534,7,2,Yes,23,1,0.998498818,09-09-25
42,Male,IT,Manager,4,44300,17,3,No,21,1,0.880797078,07-10-25
47,Male,HR,Engineer,1,106779,12,1,Yes,29,1,0.98201379,15-01-25
22,Female,IT,Analyst,1,60774,8,4,No,1,1,0.622459331,16-05-25
45,Male,IT,Manager,3,25258,18,1,No,8,1,0.98201379,12-06-25
56,Female,IT,Manager,1,32666,4,2,Yes,7,1,0.998498818,10-02-25
49,Female,Finance,Manager,3,28392,7,4,Yes,2,1,0.989013057,02-02-25
44,Male,HR,Executive,2,99575,4,3,No,12,0,0.5,26-12-25
43,Female,Finance,Analyst,3,90592,2,1,No,15,1,0.970687769,11-05-25
22,Female,Finance,Manager,1,118806,13,3,Yes,27,1,0.92414182,26-07-25
36,Female,HR,Executive,2,43419,12,3,No,7,1,0.92414182,29-08-25
53,Male,R&D,Analyst,4,38141,4,3,Yes,7,1,0.98201379,25-08-25
36,Female,IT,Analyst,3,53827,12,4,Yes,7,1,0.92414182,06-07-25
43,Male,R&D,Executive,4,63585,9,1,Yes,25,1,0.98201379,14-05-25
49,Female,R&D,Executive,4,89163,19,2,Yes,11,1,0.989013057,08-05-25
49,Female,HR,Manager,1,64262,0,1,Yes,25,1,0.995929862,10-10-25
34,Female,IT,Manager,1,29474,6,2,No,8,1,0.989013057,17-05-25
58,Male,Finance,Analyst,1,118098,9,4,No,24,0,0.5,11-11-25
53,Female,Sales,Executive,4,88840,19,1,No,17,1,0.92414182,21-02-25
33,Female,Sales,Engineer,2,85318,1,3,No,17,1,0.817574476,11-04-25
38,Female,Sales,Engineer,3,46736,1,2,No,28,1,0.995929862,23-02-25
44,Female,HR,Engineer,1,58623,0,1,Yes,19,1,0.995929862,06-05-25
23,Male,HR,Manager,1,70859,5,4,No,23,0,0.5,20-11-25
32,Female,Finance,Engineer,4,32688,5,4,Yes,5,1,0.989013057,08-04-25
27,Male,R&D,Engineer,2,54698,15,4,No,1,0,0.5,20-07-25
27,Female,HR,Engineer,4,35708,2,4,No,28,1,0.970687769,12-12-25
24,Male,HR,Engineer,3,31411,6,4,Yes,9,1,0.98201379,08-05-25
39,Male,IT,Analyst,4,57504,10,4,Yes,25,1,0.880797078,31-05-25
52,Male,Finance,Analyst,2,80713,2,3,No,28,1,0.731058579,24-05-25
47,Female,R&D,Manager,4,36371,16,2,No,1,1,0.989013057,31-10-25
33,Male,HR,Analyst,1,49855,8,1,No,3,1,0.98201379,27-05-25
37,Male,Sales,Executive,3,24499,0,4,Yes,20,1,0.993307149,16-03-25
29,Male,Finance,Analyst,4,73351,19,2,Yes,3,1,0.98201379,22-04-25
46,Male,R&D,Analyst,3,22200,17,4,Yes,14,1,0.98201379,04-12-25
23,Female,IT,Engineer,2,81135,8,4,Yes,1,1,0.92414182,09-03-25
54,Female,Sales,Analyst,2,111412,15,4,Yes,24,1,0.92414182,15-05-25
24,Male,Finance,Manager,1,90271,0,4,Yes,12,1,0.952574127,22-01-25
51,Female,Sales,Manager,2,67333,12,3,No,22,1,0.622459331,21-09-25
48,Male,HR,Executive,3,69377,0,4,No,15,1,0.731058579,13-11-25
40,Female,HR,Analyst,4,93744,11,4,No,29,1,0.622459331,15-02-25
27,Female,HR,Manager,3,52635,8,1,Yes,24,1,0.989013057,15-12-25
52,Male,IT,Engineer,3,86235,0,4,No,29,1,0.731058579,10-06-25
24,Female,Finance,Executive,4,46641,9,3,No,22,1,0.92414182,27-02-25
24,Male,IT,Analyst,4,71885,17,4,Yes,15,1,0.880797078,08-12-25
44,Male,Sales,Manager,2,76958,9,2,No,26,1,0.880797078,30-09-25
54,Male,Sales,Engineer,1,98069,15,3,No,29,0,0.5,19-06-25
47,Male,R&D,Manager,3,70993,12,4,No,26,0,0.5,09-11-25
57,Male,R&D,Executive,1,22368,7,4,Yes,14,1,0.98201379,22-05-25
33,Female,HR,Executive,3,75766,14,4,No,2,1,0.622459331,18-11-25
53,Male,R&D,Manager,3,119157,18,1,Yes,26,1,0.98201379,04-03-25
43,Female,HR,Executive,2,116825,16,4,Yes,10,1,0.92414182,22-11-25
36,Male,Finance,Executive,2,35338,4,1,Yes,8,1,0.997527377,22-02-25
26,Male,Finance,Manager,3,107235,5,1,No,20,1,0.880797078,16-12-25
56,Male,HR,Executive,3,92615,19,4,Yes,13,1,0.880797078,04-05-25
51,Female,HR,Engineer,3,106672,18,4,Yes,26,1,0.92414182,12-12-25
58,Male,HR,Executive,2,28308,8,4,No,21,1,0.880797078,09-05-25
22,Male,IT,Analyst,3,66175,15,1,No,8,1,0.880797078,25-08-25
22,Male,R&D,Engineer,4,33500,6,4,Yes,5,1,0.98201379,05-10-25
50,Male,HR,Manager,3,93666,11,2,Yes,16,1,0.98201379,27-03-25
50,Male,Sales,Engineer,2,29435,4,3,Yes,17,1,0.98201379,04-04-25
26,Male,R&D,Executive,4,63919,15,1,Yes,7,1,0.98201379,10-04-25
54,Female,IT,Engineer,2,79101,4,3,No,26,1,0.622459331,10-01-25
26,Male,Sales,Manager,4,88385,19,3,No,10,0,0.5,07-09-25
40,Female,R&D,Engineer,2,29823,0,4,No,5,1,0.970687769,04-01-25
37,Male,IT,Executive,4,77679,1,1,No,28,1,0.952574127,09-06-25
48,Female,HR,Engineer,4,38071,11,2,Yes,3,1,0.998498818,02-02-25
54,Female,Sales,Engineer,1,113610,4,4,No,3,1,0.622459331,06-03-25
54,Female,HR,Executive,4,89449,10,4,Yes,29,1,0.92414182,12-01-25
52,Male,Finance,Executive,2,32161,18,2,Yes,3,1,0.997527377,03-08-25
38,Male,Finance,Engineer,2,45351,9,2,Yes,2,1,0.997527377,25-04-25
28,Male,HR,Executive,4,102745,17,1,Yes,11,1,0.98201379,05-08-25
42,Male,Finance,Manager,1,112920,3,2,Yes,5,1,0.98201379,11-07-25
56,Female,IT,Analyst,1,103042,15,4,Yes,18,1,0.92414182,06-04-25
45,Male,Sales,Executive,3,27357,4,4,No,17,1,0.880797078,02-07-25
34,Female,Finance,Executive,3,88450,8,2,Yes,17,1,0.989013057,03-03-25
41,Female,IT,Analyst,4,20728,12,3,No,19,1,0.92414182,26-06-25
57,Female,HR,Engineer,4,83932,8,3,No,12,1,0.622459331,22-09-25
28,Female,HR,Executive,4,102637,19,3,No,26,1,0.622459331,24-05-25
26,Female,R&D,Executive,3,109112,19,3,No,21,1,0.622459331,22-02-25
44,Female,Finance,Analyst,4,47192,6,1,Yes,21,1,0.998498818,11-02-25
35,Female,Sales,Manager,3,29348,2,3,Yes,29,1,0.995929862,23-08-25
32,Male,Sales,Executive,2,92267,8,2,Yes,26,1,0.98201379,10-09-25
59,Female,R&D,Engineer,3,41677,12,4,No,10,1,0.92414182,10-10-25
23,Female,Finance,Manager,1,108092,4,2,Yes,19,1,0.989013057,16-05-25
22,Male,IT,Engineer,2,111792,6,1,Yes,13,1,0.98201379,12-05-25
57,Female,IT,Engineer,2,109339,18,1,Yes,12,1,0.989013057,01-07-25
48,Male,IT,Executive,2,75129,18,3,No,3,0,0.5,22-06-25
34,Male,R&D,Engineer,2,29435,19,4,No,8,1,0.880797078,13-11-25
22,Male,HR,Engineer,3,100219,16,1,No,24,1,0.880797078,27-04-25
27,Female,R&D,Executive,2,56395,12,4,No,13,1,0.622459331,13-11-25
42,Female,R&D,Manager,4,113045,10,4,Yes,5,1,0.92414182,13-06-25
56,Female,R&D,Analyst,3,33843,17,3,No,9,1,0.92414182,01-11-25
35,Female,Finance,Executive,3,72638,0,1,Yes,22,1,0.995929862,16-09-25
37,Female,IT,Engineer,3,44504,10,4,No,10,1,0.92414182,12-08-25
37,Male,R&D,Manager,4,110469,11,4,No,28,0,0.5,08-01-25
49,Male,R&D,Manager,4,81529,7,2,No,28,1,0.880797078,27-06-25
49,Female,HR,Engineer,4,24835,16,1,No,1,1,0.989013057,31-07-25
34,Female,Finance,Engineer,4,117007,12,2,No,3,1,0.92414182,10-09-25
27,Female,HR,Executive,2,76178,4,3,No,25,1,0.622459331,10-01-25
51,Male,Sales,Engineer,2,76570,12,1,Yes,23,1,0.98201379,16-10-25
22,Female,Sales,Manager,2,28415,14,1,Yes,11,1,0.998498818,07-12-25
47,Male,R&D,Manager,3,82680,16,1,No,1,1,0.880797078,08-04-25
56,Male,R&D,Engineer,3,20384,15,3,Yes,6,1,0.98201379,16-07-25
52,Female,HR,Executive,1,100642,4,1,No,5,1,0.92414182,21-07-25
31,Female,R&D,Manager,3,33456,13,1,Yes,14,1,0.998498818,01-01-25
34,Female,IT,Manager,4,41949,0,1,No,8,1,0.995929862,15-10-25
55,Male,Finance,Analyst,4,27239,6,2,No,26,1,0.98201379,11-06-25
24,Female,Sales,Engineer,3,52049,11,1,No,22,1,0.92414182,24-08-25
26,Male,IT,Analyst,2,44285,16,4,Yes,15,1,0.98201379,26-07-25
58,Male,IT,Executive,1,97709,1,3,No,19,1,0.731058579,13-04-25
